tms,Rx1,Ry1,Rx2,Ry2,Vx1,Vy1,Vx2,Vy2
0.0,50.5,50.5,75.0,75.0,1.0,1.0,0.2,1.0
0.05,50.55270641595298,50.55529038077798,75.00979249332882,75.02523935784411,1.0035355339059326,1.0035355339059326,0.19646446609406729,0.9964644660940672
0.1,50.60580218382771,50.60994689566436,75.01226297539155,75.07400056391084,1.0070701381991403,1.0070719971802278,0.19292986180085955,0.9929280028197722
0.15000000000000002,50.67640301442248,50.66094199064265,75.03792183092618,75.13012953057795,1.0106015031002884,1.0106116951807553,0.18939849689971133,0.9893883048192447
0.2,50.7163764906039,50.7010080969939,75.03960396495516,75.20104031755821,1.0141292327945488,1.0141550161095216,0.185870767205451,0.9858449838904783
0.25,50.77043451064073,50.76809221262367,75.04442811687846,75.25629274607216,1.0176519402953679,1.017703330056127,0.18234805970463192,0.9822966699438731
0.30000000000000004,50.82359723660229,50.82551795182315,75.04697454958503,75.30557657711071,1.0211719090286815,1.02125436090878,0.17882809097131824,0.97874563909122
0.35000000000000003,50.89110509127855,50.89179558695482,75.04684306824238,75.33798908238211,1.0246887607980986,1.0248084787503757,0.17531123920190123,0.9751915212496244
0.4,50.93739989464157,50.949184733371524,75.05027902690122,75.38112190623376,1.0282031028415843,1.0283650782500928,0.17179689715841545,0.9716349217499072
0.45,50.98856062241738,51.01319504360519,75.06542150496013,75.4339399070242,1.0317153237943657,1.0319237723896393,0.168284676205634,0.9680762276103606
0.5,51.03191837981201,51.09613511292647,75.07161212400264,75.48832284829385,1.035225699896347,1.0354842863444833,0.16477430010365268,0.9645157136555167
0.55,51.07835399689779,51.13836638527726,75.07666066327288,75.54008502032322,1.038735408737479,1.0390454580407766,0.1612645912625207,0.9609545419592235
0.6000000000000001,51.1277022314426,51.176626409273375,75.07981423606171,75.5865286435451,1.0422413523527125,1.0426103366315287,0.15775864764728714,0.9573896633684713
0.65,51.17714251325311,51.217223056568834,75.0897554393121,75.61140147940944,1.0457432623428378,1.0461791776788523,0.15425673765716194,0.9538208223211477
0.7000000000000001,51.22615724079295,51.268760972656665,75.09720761811973,75.65999163222344,1.0492433769558287,1.0497497795463149,0.15075662304417092,0.9502502204536852
0.75,51.272522694963946,51.30729371051711,75.09385939204876,75.69334845026762,1.0527406010579776,1.0533232125706418,0.1472593989420221,0.9466767874293585
0.8,51.306758300090394,51.34450701842977,75.10077528764161,75.74532428669508,1.056234478780916,1.0568999175427014,0.1437655212190838,0.9431000824572989
0.8500000000000001,51.36086961389223,51.4012925878974,75.09638899446621,75.79341314000156,1.059725221641532,1.0604796820993527,0.14027477835846766,0.9395203179006476
0.9,51.415595876592164,51.42948399657462,75.10026676132583,75.83892919423216,1.0632121960698682,1.0640631175091417,0.13678780393013146,0.9359368824908586
0.9500000000000001,51.46880731528773,51.464066530146226,75.0956705069598,75.89364397738797,1.0666940544283778,1.067651524171057,0.13330594557162187,0.9323484758289434
1.0,51.5285407238955,51.530338341310475,75.12972181741165,75.94452209236671,1.0701700474028215,1.0712456127678527,0.12982995259717808,0.9287543872321476
1.05,51.57149277810502,51.59082050266148,75.14223901460927,75.98361684192825,1.0736452190447388,1.0748404955280013,0.12635478095526081,0.925159504471999
1.1,51.63093242983116,51.661965302375414,75.1391114967185,76.01799982064716,1.077119646953199,1.0784360971061677,0.1228803530468006,0.9215639028938326
1.1500000000000001,51.68737870128317,51.7182705014362,75.15429560671173,76.07008082254353,1.0805920085091825,1.0820336942521152,0.11940799149081717,0.9179663057478853
1.2000000000000002,51.738658916614796,51.776419005983385,75.1590160804641,76.10190441390884,1.0840615227771113,1.0856340373947388,0.11593847722288825,0.9143659626052616
1.25,51.8015611780712,51.817436265252546,75.1504473625844,76.16826412496744,1.0875294097218553,1.089235948018071,0.11247059027814424,0.9107640519819293
1.3,51.85648372921626,51.885619164413015,75.14744071695543,76.20408643982549,1.0909899157227687,1.092844950403446,0.10901008427723075,0.9071550495965545
1.35,51.90437955135661,51.94720384180713,75.14470849953396,76.25742079054996,1.0944483401124927,1.0964559475982056,0.10555165988750669,0.9035440524017948
1.4000000000000001,51.951886705138115,52.007348044214,75.16857541163793,76.29869401949969,1.0979034499869649,1.1000701163484612,0.10209655001303444,0.8999298836515391
1.4500000000000002,52.01636558705888,52.06548031302071,75.17535679713222,76.35472753559426,1.101358124470514,1.1036847012779816,0.09864187552948547,0.8963152987220188
1.5,52.07302738454364,52.12224538989937,75.18442923068645,76.38593363347438,1.1048084602789523,1.1073034279613618,0.09519153972104705,0.8926965720386386
1.55,52.110951694935814,52.17830289639405,75.19932728544408,76.41313651588233,1.1082569808267513,1.1109238845667375,0.09174301917324802,0.889076115433263
1.6,52.165134190062105,52.24463262015286,75.20893550694002,76.44315810589647,1.1117058505115185,1.114544008583604,0.08829414948848074,0.8854559914163966
1.6500000000000001,52.218985411188285,52.29683325520755,75.2089687306259,76.4792310158289,1.1151539370030523,1.1181648785822234,0.08484606299694693,0.8818351214177772
1.7000000000000002,52.275958508525136,52.3428847089625,75.20609186076508,76.5284530811493,1.118598999891963,1.1217886254954956,0.08140100010803625,0.8782113745045049
1.75,52.32526672041545,52.40922592227113,75.20272339348027,76.57619486881985,1.122039105691948,1.1254170786211277,0.07796089430805118,0.8745829213788728
1.8,52.378008764864575,52.45205290780868,75.22271681000677,76.62910862543151,1.1254764377127762,1.1290481595316266,0.07452356228722304,0.8709518404683739
1.85,52.432138539556064,52.51135166398363,75.24141192400117,76.67681753535933,1.1289104151014318,1.1326824131405817,0.07108958489856751,0.867317586859419
1.9000000000000001,52.47615376760774,52.57217637946516,75.25835313328123,76.70633580711673,1.1323424457245523,1.1363185052463958,0.06765755427544701,0.8636814947536049
1.9500000000000002,52.536380975732776,52.640637080565384,75.26231207751789,76.74709089659042,1.1357746735705418,1.1399544111875906,0.06422532642945758,0.8600455888124102
2.0,52.58551960963645,52.69235519069661,75.28199758161539,76.78835623147336,1.1392044973354387,1.1435925850346942,0.06079550266456067,0.8564074149653067
2.0500000000000003,52.650955169722856,52.759573703895164,75.27711125972273,76.84186565450281,1.1426327534004834,1.147232236165295,0.057367246599515864,0.8527677638347059
2.1,52.71083273511927,52.81510737164762,75.27183111011959,76.88764657409655,1.1460564037517582,1.1508762200116116,0.053943596248241146,0.8491237799883893
2.15,52.765928043091954,52.86753941914252,75.27392787038663,76.92363568365944,1.1494755441663524,1.1545244358529905,0.05052445583364683,0.8454755641470104
2.2,52.82447018703346,52.921507354290156,75.28618996666101,76.96058552154788,1.1528916462539789,1.1581754968668485,0.04710835374602037,0.8418245031331524
